Id,Label
1,8054.0
2,3209.0
3,17442.0
4,10159.0
5,1509.0
6,11612.0
7,10482.0
8,28989.0
9,13658.0
10,13666.0
11,7202.0
12,13581.0
13,6502.0
14,8693.0
15,20160.0
16,10206.0
17,1161.0
18,23485.0
19,12452.0
20,3112.0
21,12780.0
22,2188.0
23,5898.0
24,11894.0
25,8492.0
26,9966.0
27,19840.0
28,10518.0
29,4178.0
30,8133.0
31,11230.0
32,19576.0
33,13872.0
34,9008.0
35,4520.0
36,15001.0
37,5234.0
38,3555.0
39,6926.0
40,2821.0
41,17194.0
42,8930.0
43,3811.0
44,8015.0
45,23975.0
46,18105.0
47,7297.0
48,9585.0
49,13797.0
50,22232.0
51,6793.0
52,1200.0
53,9973.0
54,17932.0
55,8023.0
56,15352.0
57,13193.0
58,5812.0
59,14321.0
60,6585.0
61,22692.0
62,4703.0
63,2859.0
64,8744.0
65,5668.0
66,3082.0
67,6313.0
68,10840.0
69,3956.0
70,19719.0
71,17448.0
72,13310.0
73,15556.0
74,27564.0
75,15114.0
76,8408.0
77,12071.0
78,21526.0
79,8949.0
80,7477.0
81,35158.0
82,6098.0
83,21846.0
84,8682.0
85,14524.0
86,14069.0
87,6758.0
88,16564.0
89,6725.0
90,1298.0
91,4055.0
92,5703.0
93,2545.0
94,18879.0
95,18520.0
96,25048.0
97,6956.0
98,34120.0
99,23054.0
100,26177.0
101,18877.0
102,13400.0
103,14579.0
104,21084.0
105,13062.0
106,14742.0
107,27071.0
108,6933.0
109,4998.0
110,3076.0
111,8963.0
112,10997.0
113,3835.0
114,15326.0
115,1688.0
116,7996.0
117,6208.0
118,21852.0
119,11595.0
120,9701.0
121,7479.0
122,2276.0
123,8940.0
124,24505.0
125,11544.0
126,6867.0
127,6169.0
128,22164.0
129,7574.0
130,10415.0
131,13711.0
132,7509.0
133,4611.0
134,6039.0
135,14685.0
136,15780.0
137,2836.0
138,7096.0
139,18910.0
140,15885.0
141,13200.0
142,24946.0
143,22947.0
144,20724.0
145,5997.0
146,5375.0
147,10192.0
148,2931.0
149,13121.0
150,3198.0
151,4007.0
152,14057.0
153,14363.0
154,4455.0
155,8049.0
156,9686.0
157,8750.0
158,8022.0
159,13052.0
160,6297.0
161,3294.0
162,2361.0
163,5098.0
164,12684.0
165,12347.0
166,4585.0
167,3201.0
168,9541.0
169,14485.0
170,8807.0
171,8062.0
172,12355.0
173,5361.0
174,18783.0
175,1198.0
176,11141.0
177,8853.0
178,13175.0
179,6206.0
180,20417.0
181,12793.0
182,6155.0
183,15750.0
184,10555.0
185,1739.0
186,21322.0
187,5788.0
188,15522.0
189,8819.0
190,10953.0
191,11003.0
192,3946.0
193,11218.0
194,6306.0
195,9267.0
196,11088.0
197,12153.0
198,17274.0
199,4895.0
200,11106.0
201,3696.0
202,4899.0
203,13882.0
204,16592.0
205,16168.0
206,4286.0
207,6596.0
208,20074.0
209,15590.0
210,9305.0
211,31415.0
212,12378.0
213,16495.0
214,22170.0
215,10364.0
216,5089.0
217,8773.0
218,9457.0
219,5384.0
220,15327.0
221,3942.0
222,4904.0
223,3629.0
224,17197.0
225,8231.0
226,15239.0
227,13862.0
228,21294.0
229,5602.0
230,4556.0
231,7131.0
232,5702.0
233,8040.0
234,14298.0
235,9016.0
236,15203.0
237,13170.0
238,16407.0
239,2355.0
240,23706.0
241,11958.0
242,9537.0
243,7360.0
244,1933.0
245,18404.0
246,31137.0
247,15467.0
248,19367.0
249,11493.0
250,8374.0
251,7452.0
252,19001.0
253,28966.0
254,5902.0
255,3733.0
256,6943.0
257,35678.0
258,10628.0
259,11733.0
260,6565.0
261,28160.0
262,22843.0
263,8019.0
264,12148.0
265,10964.0
266,15426.0
267,9174.0
268,14655.0
269,10287.0
270,17083.0
271,33842.0
272,10699.0
273,8911.0
274,12172.0
275,7428.0
276,7484.0
277,7373.0
278,11247.0
279,10083.0
280,5632.0
281,18034.0
282,7609.0
283,33545.0
284,12970.0
285,26732.0
286,17581.0
287,7378.0
288,5595.0
289,9623.0
290,15256.0
291,14095.0
292,12091.0
293,8725.0
294,20018.0
295,8432.0
296,16651.0
297,4401.0
298,13648.0
299,8417.0
300,7328.0
301,13699.0
302,10189.0
303,14165.0
304,9114.0
305,11727.0
306,5647.0
307,11062.0
308,8859.0
309,3919.0
310,4338.0
311,5393.0
312,13963.0
313,3688.0
314,12022.0
315,3075.0
316,7018.0
317,13019.0
318,10017.0
319,12590.0
320,12162.0
321,8386.0
322,7748.0
323,3969.0
324,17520.0
325,7724.0
326,6217.0
327,4781.0
328,13666.0
329,12336.0
330,22862.0
331,10263.0
332,11936.0
333,9363.0
334,14506.0
335,2641.0
336,32137.0
337,4107.0
338,8574.0
339,16923.0
340,3552.0
341,26334.0
342,15586.0
343,9140.0
344,6096.0
345,4942.0
346,18306.0
347,12080.0
348,14279.0
349,10083.0
350,3224.0
351,15003.0
352,31402.0
353,14657.0
